campo,status,fonte_a,valor_a,fonte_b,valor_b,fonte_c,valor_c,fonte_d,valor_d,resolucao_adotada,responsavel
Número de docentes,RESOLVIDO,Site /indicadores,21 permanentes,Página oficial de docentes,25 registros,Painel APCN,24 no núcleo,Proposta APCN tabela corpo docente,21 permanentes + 3 colaboradores,"Os três valores estavam corretos medindo coisas diferentes. A página lista 25; excluindo Guilherme Jorge Brigolini Silva restam 24 docentes: 21 permanentes e 3 colaboradores. O 21 do site referia-se apenas aos permanentes. Portal publica 24 total / 21 permanentes / 3 colaboradores.",Resolvido
Categoria formal de docentes,DIVERGENTE,Rótulo no currículo Lattes,21 permanentes / 3 colaboradores,Categoria oficial 2024 (painel APCN),19 permanentes / 4 colaboradores / 1 sem categoria,,,,,"Divergência entre rótulo declarado no Lattes e categoria oficial registrada em 2024. Portal adota a tabela da proposta APCN (21+3). Conferência formal por docente consta como providência na matriz de conformidade.",Secretaria
Distribuição Qualis da produção,NAO_PUBLICADO,ScriptLattes,campo qualis vazio em 100% dos registros,,,,,,,"Nenhuma estimativa publicada. Seção exibe 'não disponível'. Comprovação de percentil Scopus/WoS consta como pendência crítica antes da submissão da APCN.",Comissão de Produção
Total de artigos 2021-2026,PRELIMINAR,Lattes soma por docente,370,Lattes deduplicado por DOI/título,308,,,,,"Ambos publicados lado a lado. Diferença decorre de coautoria interna ao Programa e é explicada no portal. Total único (308) é o indicador principal.",Comissão de Produção
Totais históricos de titulados,PRELIMINAR,Site atual,430 dissertações e 132 teses,Painel APCN recorte 2021-2026,118 dissertações e 48 teses,,,,,"Publicados separadamente com aviso. Os dois recortes medem períodos diferentes e não devem ser somados. Totais históricos dependem de conferência na Sucupira.",Secretaria
Estrutura de áreas e linhas,PRELIMINAR,Site atual,3 áreas (Biomateriais / Materiais Avançados / Tecnologia Mineral),Avaliação Quadrienal 2021-2024,17 linhas históricas com sobreposição,Proposta APCN 2026,2 áreas de concentração e 4 linhas,,,"Portal adota a arquitetura de 2 áreas e 4 linhas da proposta APCN 2026, marcada PRELIMINAR com aviso de que aguarda aprovação no Colegiado.",Colegiado
Valores de captação de recursos,PRELIMINAR,Planilha de captação (deduplicada),"R$ 80.643.902,79 sem dupla contagem no recorte 2021-2026",Planilha de captação (por vínculo),"R$ 125.093.944,30 somando coordenação e participação",,,,,"Publicado apenas o agregado institucional sem dupla contagem. Valor por vínculo não é somável entre docentes (o mesmo projeto conta para vários). Valores individuais não publicados. 73 pendências documentais impedem status VALIDADO.",Comissão de Projetos
Número de projetos,PRELIMINAR,Planilha - projetos únicos totais,122,Planilha - projetos únicos no recorte 2021-2026,110,,,,,"Portal publica 110 (recorte 2021-2026), coerente com o período dos demais indicadores.",Comissão de Projetos
Vinculação de docentes às linhas,PRELIMINAR,Proposta APCN cenário 12A,9 docentes nomeados por linha,Proposta curricular (responsabilidade por disciplina),14 docentes inferidos,,,,,"Docentes nomeados na proposta recebem status VALIDADO; os inferidos da responsabilidade por disciplina recebem PRELIMINAR e são marcados com asterisco no portal. 1 docente sem vinculação documentada: EM_DEFINICAO.",Colegiado
Inventário de laboratórios,NAO_PUBLICADO,Nenhuma fonte confirmada,-,,,,,,,"Nenhuma lista publicada. A v1.0 deste projeto continha 15 laboratórios com responsáveis não confirmados em qualquer fonte; foram removidos. Consta como providência na seção 14 da proposta APCN.",Responsáveis de laboratório
Acordos internacionais vigentes,NAO_PUBLICADO,Proposta APCN,portfólio consta como pendência,,,,,,,"Nenhuma lista publicada. Portal exibe apenas vínculos de currículo por país, explicitando que são vínculos e não acordos formais.",Comissão de Internacionalização
Valores de bolsa CAPES,NAO_PUBLICADO,Site atual,"R$ 1.500 mestrado / R$ 2.200 doutorado",,,,,,,"Removidos. Valores de bolsa são definidos nacionalmente pelas agências e mudam periodicamente. Portal remete às tabelas oficiais da CAPES e do CNPq.",Coordenação
Situação do curso de Doutorado,EM_DEFINICAO,Proposta APCN 2026,proposta em elaboração com 12-13 docentes e 10 vagas previstas,,,,,,,"Portal avisa explicitamente que o Doutorado não está em funcionamento e que nenhuma inscrição está aberta. Vagas sujeitas a decisão colegiada após simulação de capacidade.",Comissão APCN
Catálogo de disciplinas,EM_DEFINICAO,Proposta curricular,39 disciplinas (10 núcleo comum + 29 específicas),Painel APCN,37 disciplinas todas com situação 'validar e aprovar no Colegiado',,,,,"Publicado como catálogo proposto, com aviso de que não representa oferta vigente. Cargas horárias das específicas e docentes responsáveis não consolidados.",GT curricular
